module_name,function_name,lines_covered,lines_total,coverage_percent,last_tested,risk_score,missing_branches
reporting,validate,7,144,4.86,2025-07-20,0.04,0
reporting,create,12,80,15.0,2025-06-30,0.24,2
user,delete,5,20,25.0,2025-07-19,0.54,1
user,validate,91,143,63.64,2025-07-31,0.13,3
reporting,delete,30,88,34.09,2025-09-06,0.78,5
reporting,validate,83,134,61.94,2025-09-20,0.89,3
notifications,update,50,95,52.63,2025-06-28,0.48,4
auth,update,4,10,40.0,2025-07-22,0.8,1
user,get,39,77,50.65,2025-08-12,0.31,2
reporting,list,41,46,89.13,2025-07-15,0.39,5
invoice,get,46,170,27.06,2025-08-26,0.13,5
notifications,update,3,10,30.0,2025-08-28,0.3,2
reporting,update,3,12,25.0,2025-07-19,0.38,5
analytics,update,87,107,81.31,2025-07-04,0.89,3
analytics,validate,35,72,48.61,2025-08-04,0.23,0
auth,validate,5,24,20.83,2025-09-19,0.02,4
reporting,validate,19,64,29.69,2025-07-19,0.66,3
auth,delete,67,99,67.68,2025-09-11,0.46,3
invoice,list,79,120,65.83,2025-07-18,0.4,0
analytics,update,56,170,32.94,2025-08-10,0.85,2
invoice,list,31,97,31.96,2025-08-16,0.04,1
user,create,125,158,79.11,2025-09-20,0.43,0
analytics,update,34,157,21.66,2025-09-13,0.89,5
auth,list,81,85,95.29,2025-09-13,0.53,2
notifications,delete,132,136,97.06,2025-06-28,0.34,5
auth,get,71,195,36.41,2025-08-30,0.9,2
invoice,update,11,150,7.33,2025-07-12,0.84,1
invoice,update,42,105,40.0,2025-08-22,0.12,0
auth,validate,141,178,79.21,2025-09-24,0.81,5
reporting,create,87,115,75.65,2025-08-10,0.34,5
user,create,6,21,28.57,2025-09-05,0.37,2
notifications,update,6,100,6.0,2025-07-21,0.18,3
reporting,create,73,84,86.9,2025-07-12,0.1,0
auth,validate,75,192,39.06,2025-07-29,0.38,4
analytics,get,91,162,56.17,2025-06-28,0.05,2
reporting,update,84,108,77.78,2025-09-12,0.3,1
notifications,validate,10,38,26.32,2025-08-14,0.11,1
notifications,update,127,143,88.81,2025-08-02,0.68,5
reporting,list,46,193,23.83,2025-09-24,0.32,4
user,delete,12,44,27.27,2025-08-07,0.49,4
auth,delete,40,118,33.9,2025-08-21,0.07,5
analytics,create,27,63,42.86,2025-07-14,0.31,5
analytics,delete,57,153,37.25,2025-08-17,0.51,1
reporting,list,35,107,32.71,2025-08-12,0.21,2
notifications,validate,17,23,73.91,2025-09-14,0.6,2
auth,validate,100,184,54.35,2025-07-27,0.33,5
auth,get,134,179,74.86,2025-09-15,0.09,4
notifications,create,42,199,21.11,2025-08-11,0.95,5
notifications,delete,97,132,73.48,2025-09-24,0.84,0
notifications,create,3,65,4.62,2025-07-04,0.6,3
