module_name,function_name,lines_covered,lines_total,coverage_percent,last_tested,risk_score,missing_branches
invoice,delete,28,39,71.79,2025-07-02,0.57,0
notifications,validate,94,200,47.0,2025-09-02,0.0,3
reporting,list,25,43,58.14,2025-09-06,0.08,0
notifications,get,2,142,1.41,2025-08-03,0.08,1
auth,get,44,74,59.46,2025-09-17,0.37,2
invoice,delete,160,160,100.0,2025-09-15,0.59,2
notifications,validate,44,117,37.61,2025-07-13,0.4,4
invoice,list,55,134,41.04,2025-07-20,0.86,0
analytics,create,104,168,61.9,2025-09-18,0.89,0
notifications,list,59,65,90.77,2025-07-15,0.43,4
user,create,104,164,63.41,2025-07-26,0.64,1
user,create,15,196,7.65,2025-07-14,0.72,0
invoice,get,16,143,11.19,2025-07-12,0.29,2
invoice,create,42,183,22.95,2025-09-27,0.88,5
notifications,validate,27,50,54.0,2025-07-29,0.37,5
notifications,get,97,160,60.62,2025-09-18,0.0,3
user,delete,97,179,54.19,2025-08-31,0.23,0
reporting,list,61,66,92.42,2025-08-19,0.01,0
notifications,create,5,104,4.81,2025-07-04,0.74,0
reporting,validate,21,30,70.0,2025-08-14,0.94,1
reporting,get,56,147,38.1,2025-09-19,0.32,4
auth,get,4,32,12.5,2025-09-08,0.23,5
notifications,get,57,177,32.2,2025-08-05,0.87,4
user,get,20,61,32.79,2025-09-10,0.8,0
reporting,list,52,139,37.41,2025-08-10,0.18,3
auth,get,50,120,41.67,2025-08-03,0.68,2
notifications,get,90,186,48.39,2025-09-07,0.41,4
user,validate,48,115,41.74,2025-07-29,0.97,3
notifications,validate,113,200,56.5,2025-09-11,0.7,4
analytics,create,68,100,68.0,2025-08-18,0.06,0
auth,get,165,196,84.18,2025-09-05,0.8,3
invoice,list,51,80,63.75,2025-08-24,0.44,4
invoice,delete,1,45,2.22,2025-07-19,0.05,0
analytics,update,39,64,60.94,2025-07-20,0.32,5
notifications,validate,40,78,51.28,2025-08-08,0.18,1
invoice,list,1,102,0.98,2025-09-03,0.18,5
notifications,list,50,177,28.25,2025-08-12,0.17,0
invoice,list,5,42,11.9,2025-07-25,0.68,2
reporting,update,11,26,42.31,2025-08-29,0.54,3
